"individual","population","mother","father","ploidy"
"W15268-216R","pop1","W6511-1R","VillettaRose",4
"W15268-218R","pop1","W6511-1R","VillettaRose",4
"W15268-220R","pop1","W6511-1R","VillettaRose",4
"W15268-221R","pop1","W6511-1R","VillettaRose",4
"W15268-224R","pop1","W6511-1R","VillettaRose",4
"W15268-225R","pop1","W6511-1R","VillettaRose",4
"W15268-226R","pop1","W6511-1R","VillettaRose",4
"W15268-228R","pop1","W6511-1R","VillettaRose",4
"W15268-229R","pop1","W6511-1R","VillettaRose",4
"W15268-231R","pop1","W6511-1R","VillettaRose",4
"W15268-232R","pop1","W6511-1R","VillettaRose",4
"W15268-233R","pop1","W6511-1R","VillettaRose",4
"W15268-235R","pop1","W6511-1R","VillettaRose",4
"W15268-237R","pop1","W6511-1R","VillettaRose",4
"W15268-238R","pop1","W6511-1R","VillettaRose",4
